标题,作者,年份,摘要,卷号,期号,期刊
大数据、区块链与上市公司审计费用,杨德明;夏小燕;金淞宇;林丹滢;马晴;,2020,"利用我国A股上市公司相关数据,本文实证研究发现:上市公司实施大数据、区块链等信息技术会显著提升审计费用。这是因为上市公司运用大数据、区块链技术会使审计师面临更高的重大错报风险与审计风险;面对更高的重大错报风险,审计师会增加相关审计程序,从而增加审计费用。进一步的研究发现,上市公司运用大数据、区块链技术并不会显著增加国际""四大""的审计费用;但却会显著增加国内事务所的审计费用。采用工具变量回归和倾向得分匹配(PSM)等稳健性检验后,以上结果依然稳健地成立。这从一个侧面证明国际""四大""能更好地适应数字经济的转型,适应区块链等新技术。本文的研究扩展了审计研究的边界,亦将有助于推进大数据国家战略在会计事务所与企业的有效实施。",,04,审计研究
数字经济与农业农村经济融合发展:实践模式、现实障碍与突破路径,温涛;陈一明;,2020,"本文立足于""三农""发展的现实情况,总结归纳了数字经济与农业农村经济融合发展的国外经验和中国特色典型实践模式。研究发现,数字经济与农业农村经济融合发展能多方位促进农业升级、农村进步和农民发展。具体而言,二者融合发展能优化要素合理配置、降低交易成本、创新金融服务模式、实现规模经济效应、有效缓解信息不对称等。但就我国发展现实格局而言,二者融合发展仍面临着数字基础设施、数据分享体系、数字经济人才、相关标准及法律法规等方面的制约瓶颈。因此,本研究通过对国内外典型实践模式的归纳总结及中国现实障碍的系统剖析,提出了相应的突破路径,从而为实现""三农""优质高效的可持续发展,实现从""农业大国""到""农业强国""的转变,有效推进""乡村振兴战略""提供有益借鉴。",,07,农业经济问题
新冠肺炎疫情冲击下的银行业金融科技应用:理论逻辑、实践特征与变革路径,肖宇;李诗林;梁博;,2020,"数字时代的发展规律显示,数字化和信息化是商业银行推动自身转型升级的必然趋势。研究发现,此次新冠肺炎抗疫战期间,金融科技在有效助力中国商业银行应对危机中发挥了重要作用,主要体现在金融科技有效降低物理场所经营风险,有助于压缩存量贷款余额风险敞口,能够帮助商业银行实现资产投放的精准滴灌,切实提升商业银行的内部风险管控水平,助力商业银行有效应对跨界竞争等多个方面。后疫情时代,商业银行应该积极推动金融科技变革,继续夯实金融科技底层技术,不断丰富金融产品与服务矩阵,守住不发生系统性风险底线,协调推动银行业双向开放,做好人才队伍培育和支撑,积极参与金融科技国际规则制定。",35,03,金融经济学研究
数字经济驱动产业结构转型升级的区域差异,李晓钟;吴甲戌;,2020,"在估算数字经济和产业结构转型升级水平的基础上,利用PVAR模型和脉冲响应模型分区域分析数字经济与产业结构转型升级之间的动态互动关系,利用系统GMM研究数字经济对产业结构的驱动作用。研究发现,数字经济及其子系统对我国产业结构转型升级产生正向促进作用,驱动效果存在明显的区域差异;数字经济与产业结构转型升级之间存在长期、持续、正向的动态交互作用,但两者之间的相互拉动作用是非对等的。",,04,国际经济合作
超越传统贸易:数字贸易的内涵、特征与影响,盛斌;高疆;,2020,"在第四次工业革命的技术浪潮中,数字革命将对未来全球经贸发展与规则体系产生长远而深刻的影响。与传统贸易相比,数字贸易在贸易动因、贸易模式、贸易结构、贸易对象、贸易主体、贸易与分工组织形式和贸易监管要求等方面体现出新型特征。尽管精确测度数字贸易的规模目前尚存在一定难度,但是它将带来巨大的收益,包括降低贸易成本和实现产品多样化、提升效率与福利、化解中小企业和发展中国家在传统贸易中的竞争劣势和区位劣势、促进就业、深化多边贸易体制等。另一方面,数字贸易发展必须有效克服互联网接入不足、数字本地化要求、数据跨境自由流动受限、隐私和消费者保护争议、知识产权保护乏力、移动支付普及度不足、缺少适宜的争端解决机制等问题。最后,本文提出了推动全球数字贸易发展的政策建议。",,04,国外社会科学
数字经济如何影响产业结构水平？,陈小辉;张红伟;吴永超;,2020,"数字经济是中国经济高质量发展的重要抓手,其对第一、二、三产业的深度渗透具有异质性,可能对产业结构水平产生影响。本文在理论分析基础上,基于CRITIC方法测算了数字经济发展水平指数,并利用2012―2018年省级面板数据对""数字经济发展水平与产业结构水平""之间的关系进行了实证检验。研究结果表明,数字经济对中国产业结构水平具有边际递增的提升作用,随着数字经济发展水平的提升,产业结构水平得到提升,并且提升速度边际递增;政府干预通过数字经济发展水平的部分中介效应,间接影响产业结构水平。进一步研究发现,数字经济对中国产业结构水平的边际递增提升作用具有区域异质性,在中部和西部地区的提升作用大于东部地区。",,07,证券市场导报
农业数字化转型的效能分析及应对策略,刘元胜;,2020,"数字经济的迅猛发展促进了农业数字化转型,农业数字化转型能有效提高供给体系质量和效率、更好地适应需求转型升级、形成数字化再生产共同体。农业数字化转型前景广阔,趋势不可逆转,但实践中存在推进缺乏系统性、基础设施短板、供给体系不健全、数字技术和农业缺乏深度融合、数字化治理赤字较大等问题,阻碍了农业数字化转型。实现我国农业高质量数字化转型,走出一条具有中国特色的农业数字化转型道路,需要强化顶层设计、建立健全生态体系、注重提高涉农主体数字素养、鼓励科技企业赋能农业数字化转型和推进农业数字化转型治理现代化。",,07,经济纵横
新冠肺炎疫情背景下商业银行数字小微金融发展战略研究——基于未来银行的发展视角,陆岷峰;,2020,"数字经济是我国经济迈向高质量发展新时代的必然模式,数字化转型是各商业银行的重要战略目标。突如其来的新冠肺炎疫情推动着小微金融的需求持续递进,将商业银行的数字化进程推向新的发展阶段。基于新冠肺炎疫情背景下小微企业发展的新特点,按照未来银行的设计理念,定义数字小微金融发展的三大目标,本着提升数字小微金融服务能力,将金融科技有效地嵌入、运用到小微金融服务当中。这既是商业银行应对新冠肺炎疫情对小微企业负面影响的需要,也是商业银行以数字化赋能小微金融,为未来银行搭建基础并可复制到其他金融业务单元经营的需要。",41,06,新疆师范大学学报(哲学社会科学版)
交易模式、权利界定与数据要素市场培育,田杰棠;刘露瑶;,2020,"数据在我国经济社会发展中已经成为关键的生产要素,培育数据要素市场是社会主义市场经济体制下要素市场化改革的重要组成部分。与资本、劳动、技术等传统生产要素相比,数据具有非稀缺性、非均质性和非排他性等独特特征。我国各地以多种形式开展了关于数据交易的探索和实践,形成了数据撮合交易和数据增值服务两种主要交易模式,目前来看后者更为有效。由于其本身的复杂性以及权利主体的多元性,数据产权界定在学术界、产业界都还存在较大争议。应坚持""在实践中规范、在规范中发展""的原则,明确可交易数据的范围,建立全国范围的数据交易法律法规和监管框架,积极培育数据服务新业态,推动我国数据市场快速健康发展。",,07,改革
数字创新管理：理论框架与未来研究,刘洋;董久钰;魏江;,2020,"数字经济时代,创新管理研究面临重大挑战:数字技术的可重新编程性(Reprogrammable functionality)和数据同质化(Data homogenization)特性改变了产品创新、过程创新、组织创新和商业模式创新的方方面面。探究数字创新管理的特性一方面有助于理解和指导数字经济时代创新管理实践,另一方面有助于发展乃至重构创新管理相关理论。本文在阐述数字创新概念的内涵和外延的基础上,通过对1999～2019年间发表于国际重要期刊的188篇文章进行系统归纳,总结出以""创新支撑—创新流程—创新产出""为主线,""创新机制—创新产出—创新结果""为支线的数字创新管理框架,并进一步评述框架中每个部分的相关研究状况,提出未来研究方向,旨在推动数字创新研究的进一步发展。",36,07,管理世界
互联网化对中国企业出口国内增加值提升的影响,沈国兵;袁征宇;,2020,"本文大量研究讨论了企业出口增加值的影响因素。我们基于Melitz(2003)模型,对企业互联网化进行了扩展,认为随着企业互联网化程度的提高,企业会更多地使用国内中间投入。基于中国海关数据库、中国工业企业数据库以及新浪微博的数据匹配,研究表明:(1)从贸易方式来看,企业互联网化程度的提高有助于提升一般贸易企业的出口国内增加值率;(2)区分企业所有制、所在省域和企业出口持续时间,发现企业增强互联网化程度对提升国内中间投入使用的促进作用会因企业所有制、所在省域和参与全球生产网络稳定性的不同而异,互联网化对非国有企业、东部省份企业和持续出口企业的促进作用更加显著;(3)中介效应检验结果显示,企业互联网化主要通过提高国内中间投入的使用这一渠道提升了中国企业出口国内增加值率。据此,在数字经济背景下,企业通过加强自身业务同互联网的融合,提高了国内中间投入的使用,有助于提升本国企业出口竞争力。",41,07,财贸经济
数字化对制造业企业绩效的多重影响及其机理研究,戚聿东;蔡呈伟;,2020,"本文采用文本挖掘方法,基于2011—2018年中国非高新技术制造业上市公司年报信息构建了度量企业数字化程度的指标,并依据资源基础观考察了数字化程度对企业绩效的多重影响及其机理。结果表明,数字化通过管理活动和销售活动两条路径影响企业绩效,这两条路径的影响相互抵消,导致数字化程度对绩效的总影响不显著。企业规模能够放大数字化程度对企业绩效的影响,而数字化扶持补助则会缩小这种影响。总体看,中国非高新技术制造业企业尚处于数字化的初级阶段,数字化通过商业模式创新所提升的绩效被管理上的失调所抵消。",,07,学习与探索
“互联网+”背景下税收遵从的提高：挑战与对策,王玺;刘萌;,2020,"""互联网+税务""是把互联网的创新成果与税收工作深度融合、拓展信息化应用领域、推动效率提升和管理变革的重大部署,是实现税收现代化的必由之路。随着互联网技术在税收领域应用的不断拓展和深入,征纳成本大幅下降、税收征管效率逐渐提高、税务稽查更加精准、税收风险管理成效明显,推动我国进入了税收征管现代化建设的新阶段。与此同时,税务机关的职能逐渐从管理型转变为服务型,征纳双方之间的关系也从矛盾对抗转变为和谐互信,这一系列变化为税收遵从的提高提供了更大空间。本文通过梳理相关文献,结合""互联网+""为税收遵从提高带来的新机遇,深入分析""互联网+""背景下提高税收遵从面临的挑战,并在此基础上提出相关建议。",,07,税务研究
新时代税收管理现代化问题研究,国家税务总局深圳市税务局课题组;张国钧;李伟;吴俊培;,2020,"税收管理现代化是税收现代化的重要组成部分,实现税收管理现代化是实现税收现代化的重要任务。随着经济社会的不断发展,税收管理遇到一系列新挑战、新问题,探索新时代税收管理现代化建设是解决问题的必由之路。目前,我国已经具有实现新时代税收管理现代化的现实基础。在此基础上,本文主要研究探索在当前大数据、人工智能及信息化背景下,新时代税收管理现代化的实现路径,包括构建优质便捷的税费服务体系、严密规范的税费征管体系、高效清廉的队伍组织体系、立体化的税收风险管理体系、共建共治共享的税收共治体系以及""互联网+税务""的新技术应用场景。",,07,税务研究
数字金融与中国经济增长质量:内在机制与经验证据,宇超逸;王雪标;孙光林;,2020,"依托互联网新兴技术与国家政策支持,我国数字经济和数字金融得到快速发展。在新时代经济高质量发展背景下,数字金融能否成为我国经济由""高增速""向""高质量""转变的新动能?基于此,本文采用熵权TOPSIS法构建了新时代背景下经济增长质量指标体系,并利用2SLS等估计方法实证研究了数字金融如何影响经济增长质量。结果表明,数字金融能够提高经济增长质量,且欠发达地区效果更为显著。数字金融能够弥补欠发达地区的传统金融服务缺失,帮助完善融资渠道推动城乡协调发展,提高经济增长质量。从传导机制来看,数字金融不仅能够通过缩短城乡收入差距推动城乡协调发展,而且能够通过改善资本错配有效提升资本配置效率。此外,数字金融与经济增长质量间存在基于金融风险的遮掩效应。尽管短期内数字金融会增加金融脆弱性,但长期来看数字金融能够降低金融风险,提高经济增长质量。",,07,经济问题探索
“新基建”赋能中国经济高质量发展的路径研究,郭朝先;王嘉琪;刘浩荣;,2020,"社会、学界和政府部门对""新基建""的认识经历了一个逐步深化过程,""数字基建""是""新基建""的内核。""新基建""具有新技术、新高度、新领域、新模式、新业态、新治理等""六新""特征,是""新基建""为中国经济""赋能""的条件。""新基建""具有3重属性,因而有3条途径可以为中国经济高质量发展""赋能"":(1)作为固定资产投资行为,""新基建""具有乘数效应,可以带动经济增长,并且与传统基建相比,""新基建""更能促进经济""包容性""增长;(2)作为现代基础设施,尤其是数字化基础设施,可以为经济数字化转型提供底层支撑;(3)作为数字化平台,""新基建""为中国经济发展提供了新动能,推动产业融合发展、形成产业新生态,为构建现代产业体系和经济体系服务。其中,第1条途径是短期效果,后面2条途径具有长期效果。为有效发挥""新基建""的赋能效应,需要正确处理好传统基建与""新基建""、""建""与""用""、政府与市场、创新与治理等四大关系,促进中国经济数字化转型和高质量发展。",20,06,北京工业大学学报(社会科学版)
新冠肺炎疫情下我国数字经济产业发展机遇及应对策略,汪阳洁;唐湘博;陈晓红;,2020,"新冠肺炎疫情已成为一个全球瞩目的突发性重大公共卫生事件,对我国经济的影响备受关注。文章通过梳理归纳疫情与经济之间的关系,从产业转型升级视角比较系统地阐释了疫情下我国数字经济产业发展的机遇,并从市场和政府角度分析疫情促进数字经济产业发展的驱动机制,在此基础上提出相应的应对策略。研究表明,疫情为我国数字经济产业快速发展提供了众多机遇,驱动力主要来自疫情冲击下的市场需求变化和政府治理能力提升需求。实施""增强动力型""结构改革是政府化疫情危机为产业发展新动力、培育长期经济发展潜力的重要应对策略。",41,06,科研管理
中国数字经济测度与驱动因素研究,刘军;杨渊鋆;张三峰;,2020,"数字经济在全球范围内迅猛发展,建立科学的指标体系测度中国各个省份数字经济的发展水平,对于相关政策的制定具有重要的意义。本文结合已有研究,首先界定了数字经济的内涵,然后从信息化发展、互联网发展和数字交易发展三个维度构建了中国分省份数字经济评价指标体系;基于统计年鉴数据,测度了2015-2018年中国30个省份数字经济发展水平,最后,基于SAR模型,分析了数字经济的驱动因素。研究发现:中国数字经济水平正在高速发展;中国数字经济发展存在区域""数字经济鸿沟""与两极分化现象,东部地区数字经济水平明显高于中西部地区;同时,地区经济增长水平、外资依存度、政府干预度、人力资本水平和居民工资水平能够显著影响中国数字经济的发展。",,06,上海经济研究
论数字经济时代资本主义劳动过程中的劳资关系,胡莹;,2020,"数字经济时代资本主义劳动过程的新特点主要体现在:社会总体劳动资料的作用强化和单个劳动者活劳动的作用弱化并存,远程式、散点式、移动式的数字劳动使得劳动和闲暇的边界越来越模糊,劳动资料的数字化使劳动力相对过剩和资本有机构成提高的趋势进一步加强。资本主义劳动过程的本质体现在劳资关系上,它呈现出以下新特点:数字经济时代劳动的一切力量从外观上都表现为资本的力量,网络数字平台使传统的雇佣关系转向纯粹的市场交易关系,数字经济时代的劳动组织形式在一定程度上缓和了劳资冲突,劳动过程的数字化使劳动收入与资本收入的差距扩大。新的资本主义劳动过程历史样态之所以出现,必定是因为它具有更强的资本增殖能力。",,06,马克思主义研究
数据的资本化与当代资本主义价值运动新特点,黄再胜;,2020,"进入21世纪,随着数字经济疾速发展,数据已经成为最核心的生产要素,当代资本主义正加速迈进数据垄断资本主义新阶段。借助日新月异的现代数字技术,人类生产生活经验不断被数据化和价值化,数据成为资本竞相掠夺的目标资源。但同时,智能算法等数字机器的出场,并没有终结资本对劳动的控制和剥削。相反,平台经济催生的数字劳动,成为数据垄断资本主义价值创造的新源泉。从资本积累看,掌握数字平台的科技巨头竞相""数字圈地"",数据驱动的平台竞争日趋白热化,促使资本集中呈现引人瞩目的新变化;而源自数据垄断的算法权力极端集中,正对当代资本主义经济社会秩序产生重大冲击。",,06,马克思主义研究
论反垄断法的重构:应对数字经济的挑战,杨东;,2020,"从工业经济时代的""生产大爆炸""到数字经济时代的""交易大爆炸""的转型过程中,数字经济平台利用其数据和算法等的综合能力、激发数据生产要素潜力的同时,也对基于工业经济的反垄断法带来基础理论和规制体系的挑战。需基于平台、数据、算法三元融合的规制原理,以鼓励创新与隐私保护重构反垄断法立法目的和价值体系;构建市场支配地位和相对优势地位双层规制模式;重构相关市场分析框架;将修正后的必要设施原则成文法化;跳出市场支配地位框架规制流量垄断;以监管科技强化事前事中监管范式弱化事后处罚机制,构建价格和质量并重、法律和技术共治的反垄断法体系。助力增强我国数字经济的国际竞争力。",,03,中国法学
数字经济赋能制造业转型：从价值重塑到价值创造,焦勇;,2020,"坚持制造强国战略、深入推进制造业转型已经成为经济高质量发展的重要内涵。数字经济对制造业的影响逐步从价值重塑走向价值创造,为制造业转型提供新思路并赋能制造业转型。具体表现为""从要素驱动到数据驱动、从产品导向到用户体验、从产业关联到企业群落、从竞争合作到互利共生""四个维度。数字经济赋能制造业转型的路径应坚持数据驱动、创新驱动、需求驱动和供给驱动,引导制造业与互联网、研发端、服务业、新技术深度融合,为制造业转型提供强劲动能。",,06,经济学家
数字经济时代的企业管理变革,戚聿东;肖旭;,2020,"关于数字经济时代企业管理变革的研究,国内外学者给予了一定关注,但是缺乏系统性、整合性研究。本文在经典企业管理理论的基础上,结合全球企业管理创新的实践证据,从全景式视角探讨了数字经济引发的企业管理变革。数字经济背景下,用户价值主导和替代式竞争作为驱动企业管理变革的两个根本力量,不仅推动着企业目标的转变和治理结构的创新,而且推动着企业内部管理模式的一系列变革,包括组织结构趋于网络化、扁平化,营销模式趋于精准化、精细化,生产模式趋于模块化、柔性化,产品设计趋于版本化、迭代化,研发模式趋于开放化、开源化,用工模式趋于多元化、弹性化。本文研究有助于中国企业顺应数字经济运行规律做好相应的管理变革。",36,06,管理世界
体育服务业数字化的价值维度、场景样板与方略举措,沈克印;寇明宇;王戬勋;张文静;,2020,"运用文献资料、案例分析、专家访谈等研究方法,研究数字经济时代下体育服务业数字化的价值维度,以5G技术赋能北体传媒直播冰球赛、区块链赋能青鸟体育的""运动时间银行""、互联网赋能浙江黄龙体育中心为例,分析体育服务业数字化的场景样板,对发展趋势作出研判,并提出一些方略举措。研究认为,体育服务业数字化是在体育服务业中利用数字技术对服务进行升级与改造,进而提升服务质量及效率的过程。数字化在赋能体育服务业产生新业态、提高产业效率、优化要素配置、加强市场监管方面具有重要价值。体育服务业数字化趋势表现在价值创造方面,以体育消费需求为中心,新模式和新业态逐渐形成;数据集成方面,以数据为核心生产要素,数据服务和管理得到重视;平台赋能方面,以行业融合为突破方向,产业链协作将进一步加强。表现在政府层面,要强化顶层设计,完善体育服务业数字化的发展环境;表现在产业层面,集聚要素资源,推进体育服务业供给侧结构性改革;表现在企业层面,要对接消费需求,加快推进体育企业数字化转型。",34,03,体育学研究
中国数字金融发展与经济增长的理论与实证,钱海章;陶云清;曹松威;曹雨阳;,2020,"研究目标:在数字经济背景下,基于中国数字金融发展的特征事实,分析数字金融发展对经济增长的影响。研究方法:基于2011～2018年31个省份的面板数据,运用面板数据计量模型、中介效应模型、工具变量法、双重差分法进行实证检验。研究发现:中国数字金融发展促进了经济增长,为了控制内生性,以1984年各省份固定电话数与人均邮电业务量作为工具变量,结论一致;将央行推出的《G20数字普惠金融高级原则》作为准自然实验,采用双重差分法发现数字金融发展显著促进了经济增长;在城镇化率低和物质资本高的省份中,数字金融发展对经济增长的积极作用进一步增强;进一步分析发现数字金融发展促进了技术创新与地区创业,并进而推动了经济增长,即存在数字金融发展促进经济增长的创新和创业渠道。研究创新:使用工具变量、准自然实验的方法,缓解了内生性问题;使用中介效应模型,揭开了数字金融发展影响实体经济的可能机制。研究价值:对制定""数字中国""战略、理解金融供给侧结构性改革和出台创新创业政策促进实体经济发展提供了有益思考。",37,06,数量经济技术经济研究
数字普惠金融如何影响实体经济的发展——基于系统GMM模型和中介效应检验的分析,成学真;龚沁宜;,2020,"基于中国2011-2017年省级面板数据,运用系统GMM估计方法和中介效应模型,研究数字普惠金融对实体经济的影响,同时检验传统金融发展、消费和科技创新在数字普惠金融影响实体经济过程中的传导作用机制。研究发现,数字普惠金融对于实体经济的发展存在显著的促进作用,传统金融发展、消费水平以及科技创新具有一定的传导作用,但表现为遮掩效应。促进实体经济发展的关键在于提高数字普惠金融的发展水平,同时还应推动传统金融转型、刺激消费,推动科技创新,形成一条可持续的实体经济发展道路。",34,03,湖南大学学报(社会科学版)
全球价值链视域下数字经济对我国制造业升级重构效应分析,何文彬;,2020,"数字生态体系成为各国对冲经济下行、抢占新一轮制造业竞争制高点的新引擎。以纳入国际竞争力考量的全球价值链框架为视角,运用最新贸易增加值核算成果,通过我国制造业数字化规模和结构与全球空间位置横向对比,得出我国制造业数字化程度较低的初步结论;从全球价值链视角出发,对WIOD2016版我国制造业各个行业贸易增加值和垂直专业化分工进行多维解析;对数字经济影响我国制造业的重构效应进行分组实证,得出数字化投入对中低和中高知识密集制造业部门的全球价值链高端化具有显著正效应的结论,同时指出研发力度更高的部门效用更优。.",,03,亚太经济
疫情之下体育产业高质量发展的现实困境和推进思路,王戬勋;沈克印;,2020,"新冠肺炎疫情将持续发展的体育产业陷入危机之中,体育产业面临在逆境中生存的巨大挑战。而在数字经济热潮引领下,体育产业也形成了新的时代热点,疫情不会改变我国体育产业高质量发展的长远目标。研究认为,数字经济时代我国体育产业高质量发展存在以下困境:体育产业未达到全球价值链的核心节点;供需矛盾凸显抑制体育产业数字化转型;智能技术在体育产业内未实行全面覆盖;缺乏政策法规对体育产业进行专项扶持等。要实现我国体育产业高质量发展,可以将加快我国体育产业供应链与全球价值链的紧密关联、构建与需求配套的供给体系以加速体育产业数字化转型、加速形成体育产业全领域的数字链条和建立专项数字经济政策法规等作为推进思路。",37,04,西安体育学院学报
从数字经济到数字贸易:内涵、特征、规则与影响,孙杰;,2020,"数字贸易是随数字经济而出现的新贸易形式,虽然赋予了传统贸易一些新内容和新特征而成为现代服务业,但主要还是以服务于传统经济活动为目的。因此,数字贸易不会从根本上替代,更不会颠覆传统的贸易与经济活动,而是提高了传统经济活动的效率。与此同时,数字经济也会挑战一些经济学的传统假定和分析框架,并带来了一些新问题。这些问题最终都体现在应该如何制定数字经济与数字贸易规则问题上。处于不同数字经济发展水平的国家出于不同的考虑对如何建立新规则肯定会有不同诉求,但是这些诉求不应该也不太可能从根本上背离已有贸易规则的基本理念和基本原则。",36,05,国际经贸探索
数字经济驱动创新效应研究——基于省际面板数据的回归,温珺;阎志军;程愚;,2020,"基于2013～2018年中国省际面板数据构建数字经济发展水平评价体系,并采用固定效应模型对数字经济是否促进了创新进行了回归估计。研究表明,数字经济发展促进了创新能力提升,但其潜力尚未充分发挥。在对数字经济不同发展阶段的分组回归中发现,数字经济水平高的地区创新所受影响也越大。鉴于此,应全面推动数字经济量质齐升,各区域应立足自身实际精准施策,在推进新型基础设施建设的同时,主攻新型数字技术与当地制造业的融合,缩小地区发展差异,最终建设""创新型国家""。",,03,经济体制改革
数字经济、要素配置与制造业质量升级,马中东;宁朝山;,2020,"本文在分析数字经济对制造业质量升级影响机理基础上,应用中介效应模型考察数字经济对制造业质量升级的效应。研究发现:数字经济可显著促进制造业质量升级;从全国层面看,数字经济通过缓解劳动和资本要素配置扭曲促进制造业质量升级;从区域差异看,数字经济可有效改善东部地区劳动和资本要素配置扭曲状况,中西部地区制造业质量升级则主要依赖于数字经济对劳动要素配置的优化效应。为推进制造业质量升级,应加快推进数字产业化和产业数字化,推进数字经济与实体经济深度融合;发挥数字经济资源整合效应,完善要素市场化配置,优化要素配置结构和效率;完善区域数字经济和制造业质量协同发展政策,进一步缩小区域差异,实现区域协调发展。",,03,经济体制改革
论电商平台“二选一”行为的法律规制,王晓晔;,2020,"与传统经济一样,数字经济背景下的强制性""二选一""行为不是""本身违法"",但如果行为人使用这种手段,严重损害竞争对手实现最低规模经济的能力,或者阻止新企业进入市场,就会在很大程度上妨碍市场竞争。考虑到进入市场存在着经济、技术、数据等各种障碍,特别是网络外部效应,我国电商平台已经高度集中。为了维护市场的竞争性,使商户和消费者充分感受电子商务的好处和便利,竞争执法机关应当保证平台商户的多归属,即任何平台经营者都无权强迫商户只能在一个平台上交易。同时,考虑到电子商务的特点和中小商户对平台中介的依赖性,我国有必要制定规范中介平台与商户之间交易关系的专门法,并完善《电子商务法》第35条。",42,03,现代法学
新冠肺炎疫情冲击下的全球经济与对中国的挑战,佟家栋;盛斌;蒋殿春;严兵;戴金平;刘程;,2020,"在世界经济处于长期低迷状态并竭力寻求增长动力之时,新冠肺炎疫情以惊人的速度在全球蔓延,给世界经济带来强烈的负面冲击,引发了金融市场的剧烈波动,打断了已经倍受质疑的全球价值链。但是中长期来看,疫情的全球蔓延对全球的数字经济投资,以及中国深化发展完整、高效和安全的国内价值链体系都是一次重要的机遇。",,03,国际经济评论
数字经济对实体经济影响效应的实证研究,姜松;孙玉鑫;,2020,"促进数字经济和实体经济融合是供给侧结构性改革的发力点。然而囿于对数字经济本质的不同理解,社会各界对二者的关系存在诸多争议。促进数字经济和实体经济融合发展,必须对数字经济影响实体经济的效应和特征进行判断,以澄清争议、深化理性决策。立足这一大背景,本文基于我国290个城市截面数据,运用加权最小二乘法、分位数回归和截面门槛回归方法,实证数字经济对实体经济影响的总体效应、条件性和阶段特征。研究发现:在总体层面,数字经济对实体经济的影响显著为负,已产生""挤出效应""。在条件性方面,不同实体经济水平条件下,数字经济的""挤出效应""存在恒定性,但挤出程度会边际递减。在阶段特征方面,数字经济的影响呈现倒""U""型特征。跨越临界值前,表现为""促进效应"";跨越临界值后,表现为""挤出效应""。进一步的空间差异分析表明,数字经济对东部地区实体经济的影响表现为""挤出效应"",在中西部地区则表现为""促进效应""。最后,基于实证结论提出了相应的政策建议。",41,05,科研管理
中国数字经济发展现状及国际竞争力,吴晓怡;张雅静;,2020,"基于2003至2017年国内省级面板数据和跨国数据,利用主成分分析法和功效得分法,本文研究了中国数字经济的发展现状及其国际竞争力。从移动网络及人才培养、通信技术承载力、经济技术基础三个维度构建国内省际数字经济发展测评体系发现,中国数字经济发展区域差异显著,东部地区显著高于中西部地区,突出的省际差异主要反映在通信技术承载力和经济技术基础两方面。从基础设施建设、人才创新能力、信息技术应用三个维度构建国际数字经济发展测评体系发现,中国数字经济发展水平排名全球第二,但数字化基础设施与发达国家之间存在显著差距,人才创新能力明显落后于美国。对此本文提出了相应的政策建议。",41,05,科研管理
数字普惠金融能否促进地区经济高质量发展?——基于258个城市的经验证据,蒋长流;江成涛;,2020,"基于2011～2016年全国258个地级以上城市的面板数据,通过对经济高质量发展内涵的界定,构建综合指标体系对城市层面的经济发展质量进行测算,并结合地级市层面数字普惠金融指数,从创新驱动的视角,探究数字普惠金融为经济高质量发展增势赋能的内在机理。研究发现:数字普惠金融的发展及其覆盖广度、使用深度以及数字化水平有助于提升经济发展质量;数字普惠金融对经济高质量发展的驱动作用存在一定的网络技术门槛;异质性分析发现,由于互联网技术发展的""数字鸿沟"",数字普惠金融的非线性影响在大城市中存在""收敛门槛"",而在中小城市中则体现为""加速门槛"";最后,技术创新在这一传导机制中起到中介作用,数字普惠金融能够通过激励中小企业的研发创新活动,进而提升企业全要素生产率,为经济高质量发展奠定微观基础。",23,03,湖南科技大学学报(社会科学版)
中国数字经济规模测算研究——基于国际比较的视角,许宪春;张美慧;,2020,"伴随着信息技术的快速发展及其与经济运行方式的不断融合,数字经济已被视为经济增长的""新引擎"",在世界上多数国家的发展战略中占据重要位置,数字经济规模测算研究是当前国内外统计机构与研究学者面临的亟待解决的问题。本文在系统梳理信息经济、互联网经济、数字经济演变历程的基础上,提炼数字经济的内涵与形成要素,构建数字经济规模核算框架,界定数字经济核算范围,确定数字经济产品,筛选数字经济产业,对2007—2017年中国数字经济增加值与总产出等指标进行测算,并将测算结果与美国和澳大利亚进行比较。测算结果表明:2017年,中国数字经济增加值53028.85亿元,占国内生产总值的6.46%;数字经济总产出147574.05亿元,占国内总产出的6.53%。基于国际比较的视角,2017年,中国数字经济增加值约为美国的58.12%;数字经济增加值占GDP比重低于美国0.44个百分点;2016年,中国数字经济增加值约为美国的52.77%,占GDP比重低于美国0.77个百分点,略高于澳大利亚0.03个百分点。近年来,中国数字经济增加值年均实际增长率明显高于美国和澳大利亚。2008—2017年,中国数字经济增加值年均实际增长率达14.43%,明显高于国内生产总值年均实际增长率8.27%,数字经济推动经济增长的作用明显。本文深化了数字经济规模核算框架研究,系统监测了中国数字经济的发展规模与结构,为进一步完善中国数字经济统计核算体系和提出促进数字经济高质量发展的战略措施提供参考依据。",,05,中国工业经济
